,OBJECTID,SEQ_ID,DRIVER_ID,DEVICE_ID,INVOKE_CODE,STATUS,HEADING,GPS_STATUS,LOCATION_MESSAGE,MAP_HEADING,PVT_TYPE,VEHICLE_LABEL,SPEED,DIRECTION,STOP_DURATION,LONGITUDE,LATITUDE,LOCATION_TIME,LOCAL_TIME,DATE,BUILDING_NUMBER,STREET,CITY,STATE_ID,ZIP,CROSS_STREET,COUNTRY,LOCATION
137225,5346279,63417477,NCID,426019,8,0,39,0,SNOW175 02/07/2015 12:00:59 AM EST 4 mph,30.2,MOVING UPDATE,SNOW175,4.35,NE,0,-71.06514389,42.31679833,2015-02-07 05:00:59.0000000,2015-02-07 00:00:59.0000000,02/07/15,587,00:00:59.00,BOSTON,MA,2125,STOUGHTON ST,US,5346304
137232,5346301,63417500,NCID,319069,8,0,193,0,MB335-H12231 02/07/2015 12:00:02 AM EST 32 mph,5.5,MOVING UPDATE,MB335-H12231,32.311,S,0,-71.08639806,42.30014083,2015-02-07 05:00:02.0000000,2015-02-07 00:00:02.0000000,02/07/15,721,00:00:02.00,BOSTON,MA,2121,CHARLOTTE ST,US,5346326
137233,5346302,63417501,NCID,440145,8,0,133,0,MB1177-H02301 02/07/2015 12:00:40 AM EST 7 mph,11.4,MOVING UPDATE,MB1177-H02301,7.456,SE,0,-71.06257889,42.373605,2015-02-07 05:00:40.0000000,2015-02-07 00:00:40.0000000,02/07/15,68,00:00:40.00,BOSTON,MA,2129,MONUMENT AVE,US,5346327
137250,5346335,63417580,NCID,318977,8,0,1,0,MB961-H13310 02/07/2015 12:01:01 AM EST 7 mph,5.1,MOVING UPDATE,MB961-H13310,7.456,N,0,-71.09524417,42.33793583,2015-02-07 05:01:00.0000000,2015-02-07 00:01:00.0000000,02/07/15,2,00:01:00.00,BOSTON,MA,2115,LOUIS PRANG ST,US,5346360
137251,5346341,63417612,NCID,318985,8,0,301,0,MB2962-H13305 02/07/2015 12:01:48 AM EST 20 mph,5.8,MOVING UPDATE,MB2962-H13305,20.505,NW,0,-71.05178,42.351045,2015-02-07 05:01:47.0000000,2015-02-07 00:01:47.0000000,02/07/15,NA,00:01:47.00,BOSTON,MA,2210,MELCHER ST,US,5346366
137252,5346344,63417615,NCID,435251,8,0,264,0,MB786-H12318 02/07/2015 12:01:56 AM EST 5 mph,12.7,MOVING UPDATE,MB786-H12318,5.592,W,0,-71.124245,42.25579639,2015-02-07 05:01:55.0000000,2015-02-07 00:01:55.0000000,02/07/15,1280,00:01:55.00,BOSTON,MA,2136,HYDE PARK AVE,US,5346369
137253,5346345,63417616,NCID,318975,8,0,111,0,MB965-H12215 02/07/2015 12:01:45 AM EST 5 mph,5.3,MOVING UPDATE,MB965-H12215,5.592,E,0,-71.06040361,42.36311583,2015-02-07 05:01:43.0000000,2015-02-07 00:01:43.0000000,02/07/15,NA,00:01:43.00,BOSTON,MA,2114,ROAD-,US,5346370
137254,5346357,63417635,NCID,319037,8,0,193,0,MB3066-H12307 02/07/2015 12:01:24 AM EST 8 mph,5.5,MOVING UPDATE,MB3066-H12307,8.699,S,0,-71.06287167,42.29094222,2015-02-07 05:01:23.0000000,2015-02-07 00:01:23.0000000,02/07/15,1735,00:01:23.00,BOSTON,MA,2124,ROSELAND ST,US,5346382
137255,5346358,63417636,NCID,319097,3,1,382,0,MB2184-H11201 02/06/2015 11:53:44 PM EST Stop: 0H:8M,5,MOVING,MB2184-H11201,0,,520,-71.07085,42.36011944,2015-02-07 05:02:23.0000000,2015-02-07 00:02:23.0000000,02/07/15,154,00:02:23.00,BOSTON,MA,2114,DAVID G MUGAR WAY,US,5346383
137256,5346359,63417637,NCID,319097,5,0,175,0,MB2184-H11201 02/07/2015 12:02:25 AM EST 5 mph,5.5,MOVING CONFIRMATION,MB2184-H11201,5.592,S,0,-71.07087167,42.35998194,2015-02-07 05:02:24.0000000,2015-02-07 00:02:24.0000000,02/07/15,150,00:02:24.00,BOSTON,MA,2114,REVERE ST,US,5346384
137257,5346360,63417638,NCID,319047,3,0,382,0,MB2769-H11202 02/06/2015 11:59:44 PM EST 0 mph,5,MOVING,MB2769-H11202,0,N,160,-71.10272306,42.31235167,2015-02-07 05:02:29.0000000,2015-02-07 00:02:29.0000000,02/07/15,14,00:02:29.00,BOSTON,MA,2130,MONTEBELLO RD,US,5346385
137258,5346361,63417639,NCID,319047,5,0,336,0,MB2769-H11202 02/07/2015 12:02:30 AM EST 5 mph,5.8,MOVING CONFIRMATION,MB2769-H11202,5.592,NW,0,-71.10144056,42.31410194,2015-02-07 05:02:30.0000000,2015-02-07 00:02:30.0000000,02/07/15,201,00:02:30.00,BOSTON,MA,2130,GERMANIA ST,US,5346386
137259,5346364,63417648,NCID,446075,8,0,382,1,MB1813-H13203 02/07/2015 12:00:06 AM EST 5 mph,22,MOVING UPDATE,MB1813-H13203,5.592,N,0,-71.06109056,42.31963722,2015-02-07 05:02:24.0000000,2015-02-07 00:02:24.0000000,02/07/15,9,00:02:24.00,BOSTON,MA,2125,E COTTAGE ST,US,5346389
137260,5346365,63417650,NCID,318987,3,2,382,0,MB891-H13307 02/06/2015 11:34:58 PM EST Stop: 0H:27M,5,MOVING,MB891-H13307,0,,1650,-71.09446278,42.29293917,2015-02-07 05:02:34.0000000,2015-02-07 00:02:34.0000000,02/07/15,2,00:02:34.00,BOSTON,MA,2124,AMERICAN LEGION HWY,US,5346390
137261,5346366,63417651,NCID,318987,5,0,40,0,MB891-H13307 02/07/2015 12:02:34 AM EST 5 mph,5.2,MOVING CONFIRMATION,MB891-H13307,5.592,NE,0,-71.09430222,42.29331389,2015-02-07 05:02:35.0000000,2015-02-07 00:02:35.0000000,02/07/15,244,00:02:35.00,BOSTON,MA,2124,KINGBIRD RD,US,5346391
137262,5346369,63417654,NCID,440145,2,0,382,0,MB1177-H02301 02/07/2015 12:02:56 AM EST 0 mph,11,STOP,MB1177-H02301,0,N,0,-71.06137083,42.37316,2015-02-07 05:02:55.0000000,2015-02-07 00:02:55.0000000,02/07/15,72,00:02:55.00,BOSTON,MA,2129,WARREN ST,US,5346394
137265,5346372,63417666,NCID,435251,8,0,210,0,MB786-H12318 02/07/2015 12:02:56 AM EST 21 mph,12.6,MOVING UPDATE,MB786-H12318,21.748,SW,0,-71.12852778,42.25461806,2015-02-07 05:02:55.0000000,2015-02-07 00:02:55.0000000,02/07/15,1377,00:02:55.00,BOSTON,MA,2136,BARRY ST,US,5346397
137268,5346375,63417693,NCID,426223,2,0,382,0,SNOW277 02/07/2015 12:01:42 AM EST 0 mph,13,STOP,SNOW277,0,N,0,-71.15681111,42.28471917,2015-02-07 05:01:42.0000000,2015-02-07 00:01:42.0000000,02/07/15,1915,00:01:42.00,BOSTON,MA,2132,RICHWOOD ST,US,5346400
137269,5346377,63417698,NCID,440129,8,0,340,0,MB2136-H08202 02/07/2015 12:02:31 AM EST 17 mph,5.1,MOVING UPDATE,MB2136-H08202,17.398,N,0,-71.11481556,42.30569083,2015-02-07 05:02:29.0000000,2015-02-07 00:02:29.0000000,02/07/15,123,00:02:29.00,BOSTON,MA,2130,METCALF CT,US,5346402
137271,5346380,63417705,NCID,426447,8,0,9,0,SNOW389 02/07/2015 12:01:45 AM EST 24 mph,17.1,MOVING UPDATE,SNOW389,24.233,N,0,-71.05895861,42.30512,2015-02-07 05:01:45.0000000,2015-02-07 00:01:45.0000000,02/07/15,1332,00:01:45.00,BOSTON,MA,2122,LEEDSVILLE ST,US,5346405
137272,5346381,63417706,NCID,319037,8,0,192,0,MB3066-H12307 02/07/2015 12:03:24 AM EST 5 mph,5.5,MOVING UPDATE,MB3066-H12307,5.592,S,0,-71.06412,42.28651556,2015-02-07 05:03:23.0000000,2015-02-07 00:03:23.0000000,02/07/15,1893,00:03:23.00,BOSTON,MA,2124,TALBOT AVE,US,5346406
137273,5346385,63417712,NCID,426393,8,0,220,0,SNOW362 02/07/2015 12:00:12 AM EST 6 mph,14.6,MOVING UPDATE,SNOW362,6.214,SW,0,-71.07590472,42.30771111,2015-02-07 05:00:16.0000000,2015-02-07 00:00:16.0000000,02/07/15,238,00:00:16.00,BOSTON,MA,2121,DEVON ST,US,5346410
