TOWN,Snow
SHREWSBURY,26.2
LUNENBURG,26
LANCASTER,26
WORCESTER,25
HARVARD,24
AUBURN,23.5
CLINTON,23.5
STERLING,23
SPENCER,22.3
BERLIN,22.2
MILFORD,22
MILBURY,21
GRAFTON,21
WHITINSVILLE,20.2
NORTHBRIDGE,19
LEOMINSTER,18.5
BOYLSTON,18.5
SOUTHBORO,18.3
OXFORD,18
WEST BOYLSTON,16.2
SOUTHBRIDGE,16
WESTMINSTER,14
STURBRIDGE,12
BARRE,11
CHARLTON,11
ASHBURNHAM,7
WEST LEOMINSTER,6
BERLIN,26
CHELSEA,20
BOSTON,18.2
EAST BOSTON,11.8
WINTHROP,11.8
PLYMOUTH,21
WEST WAREHAM,18.5
SOUTH PLYMOUTH,18
KINGSTON,16
HANSON,14
ROCKLAND,14
HALIFAX,13.8
BRIDGEWATER,12.5
PEMBROKE,12
BROCKTON,12
SHERBORN,19.4
WRENTHAM,19
WEYMOUTH,18.5
WEST WALPOLE,18
RANDOLPH,17.6
NORWOOD,16.9
HOLBROOK,16
MILTON,15.1
MILLIS,14.7
QUINCY,14.5
DOVER,14
WALPOLE,14
STOUGHTON,13
SOUTH WEYMOUTH,7.5
FRAMINGHAM,30
LITTLETON,28
TYNGSBORO,27
WILMINGTON,23
CHELMSFORD,22.5
WESTFORD,22
NORTH READING,21.8
PEPPERELL,21
SUDBURY,20.5
WAKEFIELD,20.2
ACTON,20.2
DRACUT,20.1
NEWTON,20
NORTH CHELSMFORD,20
BURLINGTON,19.5
SHERBORN,19.4
NATICK,19
STONEHAM,17
TEWKSBURY,16.2
TOWNSEND,15.6
NORTH WOBURN,15.5
GROTON,14.5
CONCORD,14
SOMERVILLE,13.4
BEDFORD,12.8
MALDEN,12
WARE,8
BELCHERTOWN,6
AMHERST,5.5
SOUTH HADLEY,4
PLAINFIELD,2.3
WALES,12
MONSON,12
HAMPDEN,10.5
AGAWAM,9.5
PALMER,8
SPRINGFIELD,7.3
WILBRAHAM,6
SOUTHWICK,4.4
LONGMEADOW,4.2
HOLYOKE,4
CHICOPEE,3.5
WESTFIELD,3
LEYDEN,5.5
ASHFIELD,5
SHELBURNE FALLS,4
HEATH,3
SWAMPSCOTT,21.5
PEABODY,19
METHUEN,19
GEORGETOWN,18.5
TOPSFIELD,14.8
SALISBURY,13
NEWBURYPORT,13
GLOUCESTER,12.5
LYNN,11.5
SALEM,9
HAVERHILL,6.9
EDGARTOWN,16
WEST TISBURY,10
EAST FREETOWN,19.5
NEW BEDFORD,18
SOUTH DARTMOUTH,17.5
MANSFIELD,16.4
FAIRHAVEN,14.5
NORTH ATTLEBORO,14.4
TAUNTON,14
FALL RIVER,13.2
ACUSHNET,13
WEST ACUSHNET,12.4
NORTH ACUSHNET,11.5
FALMOUTH,19
HARWICH,18
SANDWICH,18
SOUTH DENNIS,13.2
CENTERVILLE,13
EAST FALMOUTH,12.5
NORTH FALMOUTH,12.5
,
