Id,Percent Uninsured
8600000US06001,2.4
8600000US06002,7.7
8600000US06010,9
8600000US06013,5.5
8600000US06016,9
8600000US06018,9.6
8600000US06019,3.6
8600000US06020,-
8600000US06021,6.3
8600000US06022,0
8600000US06023,2
8600000US06024,2.5
8600000US06026,3.7
8600000US06027,4.3
8600000US06029,3.4
8600000US06031,10.4
8600000US06032,2.2
8600000US06033,4.3
8600000US06035,4.9
8600000US06037,3.6
8600000US06039,8.9
8600000US06040,10.8
8600000US06042,7.9
8600000US06043,6.4
8600000US06051,12.7
8600000US06052,9.5
8600000US06053,13
8600000US06057,4.1
8600000US06058,9.7
8600000US06059,-
8600000US06060,1
8600000US06061,38.9
8600000US06062,7.7
8600000US06063,3.8
8600000US06065,2.5
8600000US06066,6.8
8600000US06067,3.9
8600000US06068,9.1
8600000US06069,5.5
8600000US06070,3.1
8600000US06071,6.7
8600000US06073,4.2
8600000US06074,2.6
8600000US06076,7
8600000US06078,3.8
8600000US06081,5.4
8600000US06082,7.6
8600000US06084,2
8600000US06085,6.4
8600000US06088,5
8600000US06089,4.2
8600000US06090,1.8
8600000US06091,3.2
8600000US06092,0.6
8600000US06093,3.5
8600000US06095,6.6
8600000US06096,6.9
8600000US06098,8.2
8600000US06103,10.1
8600000US06105,21.1
8600000US06106,17.6
8600000US06107,2.7
8600000US06108,14.9
8600000US06109,4.8
8600000US06110,7.7
8600000US06111,6.1
8600000US06112,11.8
8600000US06114,17.8
8600000US06117,2.7
8600000US06118,8.3
8600000US06119,8.8
8600000US06120,12.8
8600000US06160,-
8600000US06226,10.9
8600000US06231,4.1
8600000US06232,3.8
8600000US06234,5.2
8600000US06235,10.8
8600000US06237,4.3
8600000US06238,7.4
8600000US06239,7.7
8600000US06241,12.3
8600000US06242,5.8
8600000US06243,-
8600000US06247,7.5
8600000US06248,3.6
8600000US06249,8.2
8600000US06250,3.7
8600000US06254,3.3
8600000US06255,7.8
8600000US06256,11
8600000US06259,2.5
8600000US06260,12.5
8600000US06262,26.1
8600000US06263,23.1
8600000US06264,0
8600000US06266,15.3
8600000US06268,2.8
8600000US06269,2.4
8600000US06277,5.4
8600000US06278,7.4
8600000US06279,6
8600000US06280,4.2
8600000US06281,5.5
8600000US06282,10
8600000US06320,13.4
8600000US06330,12.6
8600000US06331,11.8
8600000US06332,6.8
8600000US06333,5.4
8600000US06334,3.8
8600000US06335,2.6
8600000US06336,43.6
8600000US06339,5.9
8600000US06340,7.5
8600000US06350,20.2
8600000US06351,5.6
8600000US06353,-
8600000US06354,9.3
8600000US06355,5.7
8600000US06357,5.1
8600000US06359,7.8
8600000US06360,9.1
8600000US06365,7.6
8600000US06370,7.5
8600000US06371,6.4
8600000US06373,14.5
8600000US06374,7
8600000US06375,4.2
8600000US06376,19.7
8600000US06377,8
8600000US06378,3
8600000US06379,9.8
8600000US06380,6.2
8600000US06382,8
8600000US06384,7.3
8600000US06385,5.3
8600000US06387,0
8600000US06389,33.1
8600000US06401,11.6
8600000US06403,3.7
8600000US06405,7.9
8600000US06409,20
8600000US06410,5.6
8600000US06412,10.5
8600000US06413,10.3
8600000US06414,0
8600000US06415,5.4
8600000US06416,8.7
8600000US06417,7.8
8600000US06418,11.1
8600000US06419,2.7
8600000US06420,3.4
8600000US06422,4.6
8600000US06423,6.3
8600000US06424,3.2
8600000US06426,5.4
8600000US06437,3.4
8600000US06438,5.8
8600000US06441,2.9
8600000US06442,5.8
8600000US06443,3.1
8600000US06444,0
8600000US06447,4.2
8600000US06450,11.7
8600000US06451,9
8600000US06455,2
8600000US06456,0
8600000US06457,8.7
8600000US06460,6
8600000US06461,4.5
8600000US06467,24.8
8600000US06468,3.4
8600000US06469,4.1
8600000US06470,4.6
8600000US06471,3.1
8600000US06472,3.7
8600000US06473,4.6
8600000US06475,3.7
8600000US06477,3.2
8600000US06478,6.3
8600000US06479,6.5
8600000US06480,5.4
8600000US06481,1.5
8600000US06482,3.7
8600000US06483,7.4
8600000US06484,5.5
8600000US06488,3.6
8600000US06489,4.7
8600000US06492,6.2
8600000US06498,14.5
8600000US06510,2.8
8600000US06511,11
8600000US06512,8.5
8600000US06513,16.9
8600000US06514,8.8
8600000US06515,9.3
8600000US06516,11
8600000US06517,7.1
8600000US06518,3.5
8600000US06519,19.1
8600000US06524,4.2
8600000US06525,7.4
8600000US06604,23.3
8600000US06605,25.8
8600000US06606,19.4
8600000US06607,23.9
8600000US06608,23
8600000US06610,17.3
8600000US06611,4.5
8600000US06612,2.3
8600000US06614,7.6
8600000US06615,12
8600000US06702,12.2
8600000US06704,12.8
8600000US06705,12.1
8600000US06706,13.7
8600000US06708,8.9
8600000US06710,14.7
8600000US06712,4.8
8600000US06716,4.4
8600000US06750,9
8600000US06751,4.5
8600000US06752,3.1
8600000US06754,6.8
8600000US06755,1.9
8600000US06756,5.3
8600000US06757,3.5
8600000US06758,25.2
8600000US06759,5
8600000US06762,6.2
8600000US06763,10.7
8600000US06770,8.4
8600000US06776,10.2
8600000US06777,11.2
8600000US06778,3.2
8600000US06779,5.4
8600000US06782,9.2
8600000US06783,7.8
8600000US06784,3.8
8600000US06785,12.5
8600000US06786,7.6
8600000US06787,4.6
8600000US06790,10
8600000US06791,5.1
8600000US06793,8.4
8600000US06794,5.4
8600000US06795,3.9
8600000US06796,3.5
8600000US06798,5.3
8600000US06801,6.5
8600000US06804,5.9
8600000US06807,5.5
8600000US06810,26.5
8600000US06811,8.7
8600000US06812,5.9
8600000US06820,3.1
8600000US06824,3.6
8600000US06825,4.3
8600000US06830,8.5
8600000US06831,6.2
8600000US06840,2.6
8600000US06850,13.5
8600000US06851,11.4
8600000US06853,5.2
8600000US06854,21
8600000US06855,11.8
8600000US06856,-
8600000US06870,2.3
8600000US06877,4.2
8600000US06878,4
8600000US06880,2.9
8600000US06883,1.2
8600000US06890,1.9
8600000US06896,4
8600000US06897,2.6
8600000US06901,14
8600000US06902,26.7
8600000US06903,4.8
8600000US06905,8.3
8600000US06906,15.2
8600000US06907,11.5
