State,Test,Statewide,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 11
Delaware,ELA,52,54,54,56,49,50,49,52
Delaware,Math,39,53,47,38,34,37,35,23
Maine,ELA,48,48,47,51,46,48,48,47
Maine,Math,36,45,40,35,34,36,33,25
Oregon,ELA,41,38,41,44,41,38,41,41
Oregon,Math,34,39,37,33,33,33,32,33
Washington,ELA,57,53,55,58,55,58,58,62
Washington,Math,47,57,54,48,46,49,48,29
Idaho,ELA,51,48,46,52,49,51,52,61
Idaho,Math,39,50,46,38,36,38,37,30
Missouri,ELA,56,57,58,59,55,57,58,51
Missouri,Math,40,52,49,40,38,35,28,
Vermont,ELA,54,52,51,57,53,55,54,58
Vermont,Math,42,52,45,42,37,43,40,37
West Virginia,ELA,46,46,45,51,43,45,43,47
West Virginia,Math,29,44,35,30,26,25,25,20
Connecticut,ELA,55,54,55,59,56,57,54,53
Connecticut,Math,40,48,44,37,37,39,37,31
California,ELA,44,38,40,44,43,44,45,56
California,Math,33,40,35,30,33,34,33,29
